subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron  ,"a   modern river in Acarnania ( Epirus ) , which occasion- ally   runs   underground", is ,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron   is   also   the   name   of   a   modern river in acarnania ( epirus ) , which occasion- ally   runs   underground .  ===near   its   mouth there   was   a   famous   oracle   of   the   dead ,   at ephyra , where mortals could obtain advice from   the   gods   of   the   underworld .  ","Acheron | nsubj | PROPN | [ ]
  |  | SPACE | []
is | ROOT | VERB | [Acheron,  , name, .]
  |  | SPACE | []
also | advmod | ADV | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
name | appos | NOUN | [also, the,  , of]
  |  | SPACE | []
of | prep | ADP | [ , river]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
modern | amod | ADJ | []
river | pobj | NOUN | [a, modern, in]
in | prep | ADP | [Acarnania]
Acarnania | pobj | PROPN | [Epirus, ,, runs]
( | punct | PUNCT | []
Epirus | appos | PROPN | [(, )]
) | punct | PUNCT | []
, | punct | PUNCT | []
which | nsubj | ADJ | []
occasion- | compound | NOUN | []
ally | nsubj | NOUN | [occasion-,  ]
  |  | SPACE | []
runs | relcl | NOUN | [which, ally,  , underground]
  |  | SPACE | []
underground | advmod | ADV | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",Acheron,river,is
Scyros (he),"dressed   as   a   girl   and   hidden among   Lycomedes’   own   daughters ,   one   of whom ,   Deidameia ,   later   bore Achilles   a   son , Neoptolemus , or Pyrrhos", was ,"thetis , able to foresee achilles’ future , knew that   he   was   fated   to   die   at   troy   and ,   in   an attempt to save his life , sent him into hiding at the court of lycomedes on the island of scyros .===here   he   was   dressed   as   a   girl   and   hidden among   lycomedes’   own   daughters ,   one   of whom ,   deidameia ,   later   bore achilles   a   son , neoptolemus , or pyrrhos .  ===however ,   odysseus ,   accompanied   by nestor and ajax the greater , came to the island of   scyros   to   recruit   for   the  ","Here | advmod | ADV | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Here, he,  , dressed, .]
  |  | SPACE | []
dressed | acomp | VERB | [ , hidden]
  |  | SPACE | []
as | mark | ADP | [ , girl]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
girl | pobj | NOUN | [a,  , and]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
hidden | advcl | VERB | [as, among]
among | prep | ADP | [ , daughters]
  |  | SPACE | []
Lycomedes’ | nmod | PROPN | [ ]
  |  | SPACE | []
own | amod | ADJ | [ ]
  |  | SPACE | []
daughters | pobj | NOUN | [Lycomedes’, own, ,, one, ,, Deidameia]
, | punct | PUNCT | [ ]
  |  | SPACE | []
one | appos | NUM | [ , of]
  |  | SPACE | []
of | prep | ADP | [whom]
whom | pobj | NOUN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
Deidameia | appos | NOUN | [,, bore]
, | punct | PUNCT | [ ]
  |  | SPACE | []
later | advmod | ADV | [ ]
  |  | SPACE | []
bore | appos | NOUN | [later, Achilles]
Achilles | appos | PROPN | [ , son]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
son | appos | NOUN | [a, ,, Neoptolemus]
, | punct | PUNCT | []
Neoptolemus | appos | PROPN | [,, or, Pyrrhos]
, | punct | PUNCT | []
or | cc | CCONJ | []
Pyrrhos | conj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,dressed,was
Cheiron (he),unfortunate enough to come across Artemis bathing naked in a spring with her nymphs, was ,"he became a skillful hunter after learning the art of hunting from the centaur cheiron .===one day , however , he was unfortunate enough to come across artemis bathing naked in a spring with her nymphs , and in anger artemis turned him into a stag .===he was torn to pieces by his own   fifty   hounds   on   the   slopes   of   mount cithaeron .  ","One | nummod | NUM | []
day | npadvmod | NOUN | [One]
, | punct | PUNCT | []
however | advmod | ADV | []
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [day, ,, however, ,, he, unfortunate, ,, and, turned]
unfortunate | acomp | ADJ | [enough, come]
enough | advmod | ADV | []
to | aux | PART | []
come | xcomp | VERB | [to, across, naked]
across | prep | ADP | [bathing]
Artemis | compound | PROPN | []
bathing | pobj | NOUN | [Artemis]
naked | advcl | ADJ | [in]
in | prep | ADP | [spring]
a | det | DET | []
spring | pobj | NOUN | [a, with]
with | prep | ADP | [nymphs]
her | poss | ADJ | []
nymphs | pobj | NOUN | [her]
, | punct | PUNCT | []
and | cc | CCONJ | []
in | prep | ADP | [anger]
anger | pobj | NOUN | []
Artemis | nsubj | PROPN | []
turned | conj | VERB | [in, Artemis, him, into, .]
him | dobj | PRON | []
into | prep | ADP | [stag]
a | det | DET | []
stag | pobj | NOUN | [a]
. | punct | PUNCT | []",he,unfortunate,was
"Apollo , who was undergoing   a   banishment   on   earth   at   that time ,  ",him  , was ,"see also : heracles   admetus   greek   king   of   pherae   in   thessaly   to   whom   pelias promised the hand of his daughter , alcestis , provided   he   came   to   claim   her   in   a   chariot drawn by a lion and a boar .===apollo , who was undergoing   a   banishment   on   earth   at   that time ,   was   working   as   admetus ’s   cattle drover   and   helped   him   to   accomplish   this task .===at the wedding feast admetus forgot to sacrifice   to   artemis ,   and   realizing   that admetus was doomed , apollo promised him that he need not die on the day decreed by the fates provided he could find a willing substi- tute ;   he   arranged   this   by   getting   the   fates ( moirae )   drunk   and   making   them   promise this condition .  ","Apollo | nsubj | PROPN | [,, undergoing, ,]
, | punct | PUNCT | []
who | nsubj | NOUN | []
was | aux | VERB | []
undergoing | relcl | VERB | [who, was,  , banishment, at, time]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
banishment | dobj | NOUN | [a,  , on]
  |  | SPACE | []
on | prep | ADP | [ , earth]
  |  | SPACE | []
earth | pobj | NOUN | [ ]
  |  | SPACE | []
at | prep | ADP | [ ]
  |  | SPACE | []
that | det | DET | []
time | npadvmod | NOUN | [that]
, | punct | PUNCT | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Apollo,  , working, .]
  |  | SPACE | []
working | xcomp | VERB | [ , as, drover]
  |  | SPACE | []
as | prep | ADP | [ ]
  |  | SPACE | []
Admetus | poss | PROPN | [’s]
’s | case | PART | [ ]
  |  | SPACE | []
cattle | compound | NOUN | []
drover | appos | NOUN | [Admetus, cattle,  , and, helped]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
helped | conj | VERB | [ , him, to, accomplish]
  |  | SPACE | []
him | npadvmod | PRON | [ ]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
accomplish | xcomp | NOUN | [ , task]
  |  | SPACE | []
this | det | DET | []
task | dobj | NOUN | [this]
. | punct | PUNCT | []",Apollo,him,was
Athens (he),"move   a   certain   rock ,   underneath which   he   would   find Aegeus ’s   sandals   and sword as a token of paternity", was ,"aegeus told aethra , before leaving for   athens ,   to   bring   up   her   son   without revealing   the   identity   of   his   father ;   he   also said   that  ===when   the   boy   was   big   enough   he was   to   move   a   certain   rock ,   underneath which   he   would   find aegeus ’s   sandals   and sword as a token of paternity .   ===when theseus was of age , aethra showed him   the   sandals   and   sword ,   an   heirloom   of cecrops ; theseus , able to lift the rock , recov- ered the tokens and proceeded to athens .  ","when | advmod | ADV | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
boy | nsubj | NOUN | [the,  ]
  |  | SPACE | []
was | advcl | VERB | [when, boy,  , big]
  |  | SPACE | []
big | acomp | ADJ | [ , enough]
  |  | SPACE | []
enough | advmod | ADJ | [ ]
  |  | SPACE | []
he | nsubj | PRON | []
was | ROOT | VERB | [was, he,  , to, .]
  |  | SPACE | []
to | prep | ADP | [ , move]
  |  | SPACE | []
move | pobj | NOUN | [ , rock, ,, find]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
certain | amod | ADJ | [ ]
  |  | SPACE | []
rock | appos | NOUN | [a, certain]
, | punct | PUNCT | [ ]
  |  | SPACE | []
underneath | prep | ADP | [which]
which | pobj | ADJ | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
would | aux | VERB | [ ]
  |  | SPACE | []
find | relcl | VERB | [underneath, he, would, sandals]
Aegeus | poss | PROPN | [’s]
’s | case | PART | [ ]
  |  | SPACE | []
sandals | dobj | NOUN | [Aegeus,  , and, sword]
  |  | SPACE | []
and | cc | CCONJ | []
sword | conj | NOUN | [as]
as | prep | ADP | [token]
a | det | DET | []
token | pobj | NOUN | [a, of]
of | prep | ADP | [paternity]
paternity | pobj | NOUN | []
. | punct | PUNCT | [  ]
   |  | SPACE | []",he,move,was
Aegina,the capital of Greece, was ,"the island was conquered and colonized by athens   in   the   fifth   century   b.c. ,   and   in   1811 remarkable sculptures were recovered from a doric temple situated in the northeast of the island ( restored by thorwaldsen ) and taken to munich .===between 1828 and 1829 , aegina was the capital of greece .  ===2 .  ","Between | prep | ADP | [1828]
1828 | pobj | NUM | [and, 1829]
and | cc | CCONJ | []
1829 | conj | NUM | []
, | punct | PUNCT | []
Aegina | nsubj | PROPN | []
was | ROOT | VERB | [Between, ,, Aegina, capital, .]
the | det | DET | []
capital | attr | NOUN | [the, of]
of | prep | ADP | [Greece]
Greece | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",Aegina,capital,was
Apollo (he),his blind father, carried ,"on another occasion , though hostile   to   troy ,   poseidon   saved   him   from achilles ,   whom   he   had   been   urged   to   chal- lenge by apollo .  ===at the end of the trojan war , having been wounded   with   his   mother ,   aphrodite ,   by diomedes , he carried his blind father through the dardanian gate on his back , thereby escap- ing .===the romans said that he took with him the   palladium ,   the   one   stolen   by   odysseus only being a replica , and after seven years he reached italy .   ","At | prep | ADP | [end]
the | det | DET | []
end | pobj | NOUN | [the, of]
of | prep | ADP | [War]
the | det | DET | []
Trojan | compound | PROPN | []
War | pobj | PROPN | [the, Trojan]
, | punct | PUNCT | []
having | aux | VERB | []
been | auxpass | VERB | []
wounded | ccomp | VERB | [At, ,, having, been,  , with]
  |  | SPACE | []
with | prep | ADP | [ , mother]
  |  | SPACE | []
his | poss | ADJ | [ ]
  |  | SPACE | []
mother | pobj | NOUN | [his, ,, Aphrodite]
, | punct | PUNCT | [ ]
  |  | SPACE | []
Aphrodite | appos | PROPN | [,, by]
, | punct | PUNCT | [ ]
  |  | SPACE | []
by | agent | ADP | [Diomedes]
Diomedes | pobj | PROPN | []
, | punct | PUNCT | []
he | nsubj | PRON | []
carried | ROOT | VERB | [wounded, ,, he, father, through, on, ,, escap-, .]
his | poss | ADJ | []
blind | amod | ADJ | []
father | dobj | NOUN | [his, blind]
through | prep | ADP | [Gate]
the | det | DET | []
Dardanian | compound | PROPN | []
Gate | pobj | PROPN | [the, Dardanian]
on | prep | ADP | [back]
his | poss | ADJ | []
back | pobj | NOUN | [his]
, | punct | PUNCT | []
thereby | advmod | ADV | []
escap- | advcl | ADP | [thereby, ing]
ing | dobj | VERB | []
. | punct | PUNCT | []",he,father,carried
Cumae (he),wel- comed at Drepanum by Acestes, was ,"counsel   could   be   had   from   the   sibyl   of cumae .  ===when   he   arrived   in   sicily   he   was   wel- comed at drepanum by acestes ; while there his   aged   father , anchises ,   died .===aeneas   and his men stayed for a year in drepanum before setting sail again , but due to the hostility of the   goddess   hera / juno   they   were   driven ashore   near   the   city   of   carthage ,   whose queen was dido .  ","When | advmod | ADV | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
arrived | advcl | VERB | [When, he,  , in, Sicily]
  |  | SPACE | []
