subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron,"the name of a modern river in Acarnania ( Epirus ) , which occasion- ally runs underground", is also,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron is also the name of a modern river in acarnania ( epirus ) , which occasion- ally runs underground .===near its mouth there was a famous oracle of the dead , at ephyra , where mortals could obtain advice from the gods of the underworld .","Acheron | nsubj | PROPN | []
is | ROOT | VERB | [Acheron, also, name, .]
also | advmod | ADV | []
the | det | DET | []
name | attr | NOUN | [the, of, runs]
of | prep | ADP | [river]
a | det | DET | []
modern | amod | ADJ | []
river | pobj | NOUN | [a, modern, in, ,]
in | prep | ADP | [Acarnania]
Acarnania | pobj | PROPN | [Epirus]
( | punct | PUNCT | []
Epirus | appos | PROPN | [(, )]
) | punct | PUNCT | []
, | punct | PUNCT | []
which | det | ADJ | []
occasion- | compound | NOUN | []
ally | nsubj | NOUN | [which, occasion-]
runs | relcl | VERB | [ally, underground]
underground | advmod | ADV | []
. | punct | PUNCT | []",Acheron,name,is
centaur (he),unfortunate enough to come across Artemis bathing naked in a spring with her nymphs, was ,"he became a skillful hunter after learning the art of hunting from the centaur cheiron .===one day , however , he was unfortunate enough to come across artemis bathing naked in a spring with her nymphs , and in anger artemis turned him into a stag .===he was torn to pieces by his own fifty hounds on the slopes of mount cithaeron .  ","One | nummod | NUM | []
day | npadvmod | NOUN | [One]
, | punct | PUNCT | []
however | advmod | ADV | []
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [day, ,, however, ,, he, unfortunate, ,, and, turned]
unfortunate | acomp | ADJ | [enough, come]
enough | advmod | ADV | []
to | aux | PART | []
come | xcomp | VERB | [to, across, naked]
across | prep | ADP | [bathing]
Artemis | compound | PROPN | []
bathing | pobj | NOUN | [Artemis]
naked | advcl | ADJ | [in]
in | prep | ADP | [spring]
a | det | DET | []
spring | pobj | NOUN | [a, with]
with | prep | ADP | [nymphs]
her | poss | ADJ | []
nymphs | pobj | NOUN | [her]
, | punct | PUNCT | []
and | cc | CCONJ | []
in | prep | ADP | [anger]
anger | pobj | NOUN | []
Artemis | nsubj | PROPN | []
turned | conj | VERB | [in, Artemis, him, into, .]
him | dobj | PRON | []
into | prep | ADP | [stag]
a | det | DET | []
stag | pobj | NOUN | [a]
. | punct | PUNCT | []",he,unfortunate,was
