Subject,Predicate W/ Prepositions,Object Subtree,Object,Predicate,Sentence,Parse Tree
Apollyon,is ,the Greek name,name,is,apollyon is the greek name .  ,"[('Apollyon', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [Apollyon, name, .]), ('the', 'det', 'DET', []), ('Greek', 'amod', 'ADJ', []), ('name', 'attr', 'NOUN', [the, Greek]), ('.', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', [])]"
Abaddon,is ,"the prince who rules the seventh   Apollyon , from Francis Barrett ’s",prince,is,"abaddon is the prince who rules the seventh   apollyon , from francis barrett ’s","[('Abaddon', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [Abaddon, prince]), ('the', 'det', 'DET', []), ('prince', 'attr', 'NOUN', [the, rules]), ('who', 'nsubj', 'NOUN', []), ('rules', 'relcl', 'VERB', [who, Apollyon]), ('the', 'det', 'DET', []), ('seventh', 'amod', 'ADJ', [ ]), (' ', '', 'SPACE', []), ('Apollyon', 'dobj', 'PROPN', [the, seventh, ,, from]), (',', 'punct', 'PUNCT', []), ('from', 'prep', 'ADP', [Barrett]), ('Francis', 'compound', 'PROPN', []), ('Barrett', 'pobj', 'PROPN', [Francis, ’s]), ('’s', 'case', 'PART', [])]"
Abaddon,was ,a place and,place,was,"originally , abaddon was a place and","[('Originally', 'advmod', 'ADV', []), (',', 'punct', 'PUNCT', []), ('Abaddon', 'nsubj', 'PROPN', []), ('was', 'ROOT', 'VERB', [Originally, ,, Abaddon, place]), ('a', 'det', 'DET', []), ('place', 'attr', 'NOUN', [a, and]), ('and', 'cc', 'CCONJ', [])]"
Testament,is ,a place of destruction and,place,is,"the old testament , abaddon is primarily a place of destruction and","[('the', 'det', 'DET', []), ('Old', 'compound', 'PROPN', []), ('Testament', 'nsubj', 'PROPN', [the, Old, ,, Abaddon]), (',', 'punct', 'PUNCT', []), ('Abaddon', 'appos', 'PROPN', []), ('is', 'ROOT', 'VERB', [Testament, primarily, place]), ('primarily', 'advmod', 'ADV', []), ('a', 'det', 'DET', []), ('place', 'attr', 'NOUN', [a, of, and]), ('of', 'prep', 'ADP', [destruction]), ('destruction', 'pobj', 'NOUN', []), ('and', 'cc', 'CCONJ', [])]"
Abaddon,is ,9:10,9:10,is,"in revelation 9:10 , abaddon is personiﬁed as the king of the abyss , the bottomless pit of hell .","[('In', 'prep', 'ADP', [REVELATION, 9:10]), ('REVELATION', 'pobj', 'PROPN', []), ('9:10', 'pobj', 'NUM', []), (',', 'punct', 'PUNCT', []), ('Abaddon', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [In, ,, Abaddon, personiﬁed, .]), ('personiﬁed', 'attr', 'NOUN', [as]), ('as', 'prep', 'ADP', [king]), ('the', 'det', 'DET', []), ('king', 'pobj', 'NOUN', [the, of, ,, pit]), ('of', 'prep', 'ADP', [abyss]), ('the', 'det', 'DET', []), ('abyss', 'pobj', 'NOUN', [the]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('bottomless', 'amod', 'ADJ', []), ('pit', 'conj', 'NOUN', [the, bottomless, of]), ('of', 'prep', 'ADP', [hell]), ('hell', 'pobj', 'NOUN', []), ('.', 'punct', 'PUNCT', [])]"
He,was ,present,present,was,he was present when moses was taken before the pharaoh of egypt and,"[('He', 'nsubj', 'PRON', []), ('was', 'ROOT', 'VERB', [He, present, taken]), ('present', 'acomp', 'ADJ', []), ('when', 'advmod', 'ADV', []), ('Moses', 'nsubjpass', 'PROPN', []), ('was', 'auxpass', 'VERB', []), ('taken', 'advcl', 'VERB', [when, Moses, was, before, and]), ('before', 'prep', 'ADP', [pharaoh]), ('the', 'det', 'DET', []), ('pharaoh', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [Egypt]), ('Egypt', 'pobj', 'PROPN', []), ('and', 'cc', 'CCONJ', [])]"
they,summoned to,the Egyptian magicians,magicians,summoned,was summoned to the aid of the egyptian magicians when THEY sought to discredit moses .,"[('was', 'auxpass', 'VERB', []), ('summoned', 'ROOT', 'VERB', [was, to, sought, .]), ('to', 'prep', 'ADP', [aid]), ('the', 'det', 'DET', []), ('aid', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [magicians]), ('the', 'det', 'DET', []), ('Egyptian', 'amod', 'ADJ', []), ('magicians', 'pobj', 'NOUN', [the, Egyptian]), ('when', 'advmod', 'ADV', []), ('they', 'nsubj', 'PRON', []), ('sought', 'advcl', 'VERB', [when, they, discredit]), ('to', 'aux', 'PART', []), ('discredit', 'xcomp', 'VERB', [to, Moses]), ('Moses', 'dobj', 'PROPN', []), ('.', 'punct', 'PUNCT', [])]"
Abigor,appears as,a handsome man on a horse,man,appears,"abigor appears as a handsome man on a horse , holding a standard or","[('Abigor', 'nsubj', 'PROPN', []), ('appears', 'ROOT', 'VERB', [Abigor, as, ,, holding]), ('as', 'prep', 'ADP', [man]), ('a', 'det', 'DET', []), ('handsome', 'amod', 'ADJ', []), ('man', 'pobj', 'NOUN', [a, handsome, on]), ('on', 'prep', 'ADP', [horse]), ('a', 'det', 'DET', []), ('horse', 'pobj', 'NOUN', [a]), (',', 'punct', 'PUNCT', []), ('holding', 'advcl', 'VERB', [standard]), ('a', 'det', 'DET', []), ('standard', 'dobj', 'NOUN', [a, or]), ('or', 'cc', 'CCONJ', [])]"
He,teaches ,leaders,leaders,teaches,he teaches leaders how to win the loyalty of soldiers .,"[('He', 'nsubj', 'PRON', []), ('teaches', 'ROOT', 'VERB', [He, leaders, win, .]), ('leaders', 'dobj', 'NOUN', []), ('how', 'advmod', 'ADV', []), ('to', 'aux', 'PART', []), ('win', 'xcomp', 'VERB', [how, to, loyalty]), ('the', 'det', 'DET', []), ('loyalty', 'dobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [soldiers]), ('soldiers', 'pobj', 'NOUN', []), ('.', 'punct', 'PUNCT', [])]"
He,is in,"the supreme power of being ,",power,is,"he is the supreme power of being , in whom light and","[('He', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [He, power, in]), ('the', 'det', 'DET', []), ('supreme', 'amod', 'ADJ', []), ('power', 'attr', 'NOUN', [the, supreme, of]), ('of', 'prep', 'ADP', [being]), ('being', 'pcomp', 'VERB', [,]), (',', 'punct', 'PUNCT', []), ('in', 'prep', 'ADP', [light]), ('whom', 'det', 'NOUN', []), ('light', 'pcomp', 'NOUN', [whom, and]), ('and', 'cc', 'CCONJ', [])]"
