Subject,Predicate W/ Prepositions,Object Subtree,Sentence in Context,Object,Predicate,Parse Tree
Apollyon,is ,the Greek name,”===APOLLYON is the greek name .  ===in magic abaddon is often equated with satan and samael .,name,is,"Apollyon | nsubj | PROPN | []
is | ROOT | VERB | [Apollyon, name, .]
the | det | DET | []
Greek | amod | ADJ | []
name | attr | NOUN | [the, Greek]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Abaddon,is ,"the prince who rules the seventh   Apollyon , from Francis Barrett ’s","his name is evoked in conjuring spells for malicious deeds .===ABADDON is the prince who rules the seventh   apollyon , from francis barrett ’s===the magus ( author ’s   collection )   hierarchy of demons , the erinyes , or furies , who govern powers of evil , discord , war , and devastation .  ",prince,is,"Abaddon | nsubj | PROPN | []
is | ROOT | VERB | [Abaddon, prince]
the | det | DET | []
prince | attr | NOUN | [the, rules]
who | nsubj | NOUN | []
rules | relcl | VERB | [who, Apollyon]
the | det | DET | []
seventh | amod | ADJ | [ ]
  |  | SPACE | []
Apollyon | dobj | PROPN | [the, seventh, ,, from]
, | punct | PUNCT | []
from | prep | ADP | [Barrett]
Francis | compound | PROPN | []
Barrett | pobj | PROPN | [Francis, ’s]
’s | case | PART | []"
Abaddon,was ,a place and not an angel or being,"the magus ( author ’s   collection )   hierarchy of demons , the erinyes , or furies , who govern powers of evil , discord , war , and devastation .  ===originally , ABADDON was a place and not an angel or being .===in rabbinic writings and the old testament , abaddon is primarily a place of destruction and a name for one of the regions of gehenna ( see hell ) .",place,was,"Originally | advmod | ADV | []
, | punct | PUNCT | []
Abaddon | nsubj | PROPN | []
was | ROOT | VERB | [Originally, ,, Abaddon, place, .]
a | det | DET | []
place | attr | NOUN | [a, and, angel]
and | cc | CCONJ | []
not | neg | ADV | []
an | det | DET | []
angel | conj | NOUN | [not, an, or, being]
or | cc | CCONJ | []
being | conj | VERB | []
. | punct | PUNCT | []"
Abaddon,is ,rabbinic writings and the Old Testament,"originally , abaddon was a place and not an angel or being .===in rabbinic writings and the old testament , ABADDON is primarily a place of destruction and a name for one of the regions of gehenna ( see hell ) .===the term occurs six times in the old testament .",writings,is,"In | prep | ADP | [writings]
rabbinic | amod | ADJ | []
writings | pobj | NOUN | [rabbinic, and, Testament]
and | cc | CCONJ | []
the | det | DET | []
Old | compound | PROPN | []
Testament | conj | PROPN | [the, Old]
, | punct | PUNCT | []
Abaddon | nsubj | PROPN | []
is | ROOT | VERB | [In, ,, Abaddon, primarily, place, .]
primarily | advmod | ADV | []
a | det | DET | []
place | attr | NOUN | [a, of, and, name]
of | prep | ADP | [destruction]
destruction | pobj | NOUN | []
and | cc | CCONJ | []
a | det | DET | []
name | conj | NOUN | [a, for, see]
for | prep | ADP | [one]
one | pobj | NUM | [of]
of | prep | ADP | [regions]
the | det | DET | []
regions | pobj | NOUN | [the, of]
of | prep | ADP | [Gehenna]
Gehenna | pobj | PROPN | []
( | punct | PUNCT | []
see | parataxis | VERB | [(, HELL, )]
HELL | dobj | PROPN | []
) | punct | PUNCT | []
. | punct | PUNCT | []"
Abaddon,is ,9:10,"later , job 28:22 names abaddon and death together , implying personiﬁed beings .  ===in revelation 9:10 , ABADDON is personiﬁed as the king of the abyss , the bottomless pit of hell .===revelation also cites the greek version of the name , apollyon , probably a reference to apollo , greek god of pestilence and destruction .  ",9:10,is,"In | prep | ADP | [REVELATION, 9:10]
REVELATION | pobj | PROPN | []
9:10 | pobj | NUM | []
, | punct | PUNCT | []
Abaddon | nsubj | PROPN | []
is | ROOT | VERB | [In, ,, Abaddon, personiﬁed, .]
personiﬁed | attr | NOUN | [as]
as | prep | ADP | [king]
the | det | DET | []
king | pobj | NOUN | [the, of, ,, pit]
of | prep | ADP | [abyss]
the | det | DET | []
abyss | pobj | NOUN | [the]
, | punct | PUNCT | []
the | det | DET | []
bottomless | amod | ADJ | []
pit | conj | NOUN | [the, bottomless, of]
of | prep | ADP | [hell]
hell | pobj | NOUN | []
. | punct | PUNCT | []"
He,was ,present,"in the testament of solomon , abezethibou states that he once sat in the ﬁrst heaven , named amelouth .===HE was present wHEn moses was taken before tHE pharaoh of egypt and was summoned to tHE aid of tHE egyptian magicians wHEn tHEy sought to discredit moses .===abezethibou takes credit for turning the pharaoh against egypt and for inciting the egyptians to pursue the israelites in their exodus .",present,was,"He | nsubj | PRON | []
was | ROOT | VERB | [He, present, taken, .]
present | acomp | ADJ | []
when | advmod | ADV | []
Moses | nsubjpass | PROPN | []
was | auxpass | VERB | []
taken | advcl | VERB | [when, Moses, was, before, and, summoned]
before | prep | ADP | [pharaoh]
the | det | DET | []
pharaoh | pobj | NOUN | [the, of]
of | prep | ADP | [Egypt]
Egypt | pobj | PROPN | []
and | cc | CCONJ | []
was | auxpass | VERB | []
summoned | conj | VERB | [was, to, sought]
to | prep | ADP | [aid]
the | det | DET | []
aid | pobj | NOUN | [the, of]
of | prep | ADP | [magicians]
the | det | DET | []
Egyptian | amod | ADJ | []
magicians | pobj | NOUN | [the, Egyptian]
when | advmod | ADV | []
they | nsubj | PRON | []
sought | advcl | VERB | [when, they, discredit]
to | aux | PART | []
discredit | xcomp | VERB | [to, Moses]
Moses | dobj | PROPN | []
. | punct | PUNCT | []"
Abigor,appears as,a handsome man on a horse,"abigor demon who is a grand duke in hell .===ABIGOR appears as a handsome man on a horse , holding a standard or scepter .===he knows all the secrets of war and sees the future .",man,appears,"Abigor | nsubj | PROPN | []
appears | ROOT | VERB | [Abigor, as, ,, holding, .]
as | prep | ADP | [man]
a | det | DET | []
handsome | amod | ADJ | []
man | pobj | NOUN | [a, handsome, on]
on | prep | ADP | [horse]
a | det | DET | []
horse | pobj | NOUN | [a]
, | punct | PUNCT | []
holding | advcl | VERB | [standard]
a | det | DET | []
standard | dobj | NOUN | [a, or, scepter]
or | cc | CCONJ | []
scepter | conj | NOUN | []
. | punct | PUNCT | []"
He,teaches ,leaders,"he knows all the secrets of war and sees the future .===HE teacHEs leaders how to win tHE loyalty of soldiers .===in hell , he commands 60 legions of demons .  ",leaders,teaches,"He | nsubj | PRON | []
teaches | ROOT | VERB | [He, leaders, win, .]
leaders | dobj | NOUN | []
how | advmod | ADV | []
to | aux | PART | []
win | xcomp | VERB | [how, to, loyalty]
the | det | DET | []
loyalty | dobj | NOUN | [the, of]
of | prep | ADP | [soldiers]
soldiers | pobj | NOUN | []
. | punct | PUNCT | []"
He,is ,"the supreme power of being , in whom light and darkness are both united and transcended","the gnostic abraxas created the material world and also had demonic qualities .===HE is tHE supreme power of being , in whom light and darkness are both united and transcended .===orthodox christians viewed abraxas as a demon .",power,is,"He | nsubj | PRON | []
is | ROOT | VERB | [He, power, .]
the | det | DET | []
supreme | amod | ADJ | []
power | attr | NOUN | [the, supreme, of]
of | prep | ADP | [being]
being | pcomp | VERB | [,, are]
, | punct | PUNCT | []
in | prep | ADP | [light]
whom | det | NOUN | []
light | pcomp | NOUN | [whom, and, darkness]
and | cc | CCONJ | []
darkness | conj | NOUN | []
are | relcl | VERB | [in, both, united]
both | dep | DET | []
united | acomp | VERB | [and, transcended]
and | cc | CCONJ | []
transcended | conj | VERB | []
. | punct | PUNCT | []"
shield,is ,symbolic of wisdom,"the snake legs indicate prudence .===the SHIELD is symbolic of wisdom , the great protector of divine warriors .===the whip denotes the relentless driving power of life .",symbolic,is,"The | det | DET | []
shield | nsubj | NOUN | [The, protector]
is | ROOT | VERB | [shield, symbolic, ,, .]
symbolic | acomp | ADJ | [of]
of | prep | ADP | [wisdom]
wisdom | pobj | NOUN | []
, | punct | PUNCT | []
the | det | DET | []
great | amod | ADJ | []
protector | appos | NOUN | [the, great, of]
of | prep | ADP | [warriors]
divine | amod | ADJ | []
warriors | pobj | NOUN | [divine]
. | punct | PUNCT | []"
Abraxas,was ,"the name of a sun mounting an ouroborus ( a snake biting its tail ) held by the highest Egyptian goddess , Isis , the creator of the Sun and mistress of all the gods","the letters add up to a numerological value of 365 , the number of days and powers of the year .  ===ABRAXAS also was the name of a sun mounting an ouroborus ( a snake biting its tail ) held by the highest egyptian goddess , isis , the creator of the sun and mistress of all the gods .===isis mythology found its way into gnosticism .",name,was,"Abraxas | nsubj | PROPN | []
also | advmod | ADV | []
was | ROOT | VERB | [Abraxas, also, name, .]
the | det | DET | []
name | attr | NOUN | [the, of, snake, held]
of | prep | ADP | [sun]
a | det | DET | []
sun | pobj | NOUN | [a, mounting]
mounting | acl | VERB | [ouroborus]
an | det | DET | []
ouroborus | dobj | NOUN | [an]
( | punct | PUNCT | []
a | det | DET | []
snake | appos | NOUN | [(, a, biting, )]
biting | acl | VERB | [tail]
its | poss | ADJ | []
tail | dobj | NOUN | [its]
) | punct | PUNCT | []
held | acl | VERB | [by]
by | agent | ADP | [goddess]
the | det | DET | []
highest | amod | ADJ | []
Egyptian | amod | ADJ | []
goddess | pobj | NOUN | [the, highest, Egyptian, ,, Isis]
, | punct | PUNCT | []
Isis | appos | PROPN | [,, creator]
, | punct | PUNCT | []
the | det | DET | []
creator | appos | NOUN | [the, of]
of | prep | ADP | [Sun]
the | det | DET | []
Sun | pobj | PROPN | [the, and, mistress, of]
and | cc | CCONJ | []
mistress | conj | NOUN | []
of | prep | ADP | [gods]
all | predet | ADJ | []
the | det | DET | []
gods | pobj | NOUN | [all, the]
. | punct | PUNCT | []"
He,is ,the eighth of the 10 evil demons of the sephirot of the Tree of Life ( see K ABBALAH ),adramelech himself is often portrayed as a peacock ( see iblis ) or as a mule .  ===HE is tHE eighth of tHE 10 evil demons of tHE sephirot of tHE tree of life ( see k abbalah ) .===he works under the command of samael .  ,eighth,is,"He | nsubj | PRON | []
is | ROOT | VERB | [He, eighth, .]
the | det | DET | []
eighth | attr | ADJ | [the, of, see]
of | prep | ADP | [demons]
the | det | DET | []
10 | nummod | NUM | []
evil | amod | ADJ | []
demons | pobj | NOUN | [the, 10, evil, of]
of | prep | ADP | [sephirot]
the | det | DET | []
sephirot | pobj | NOUN | [the, of]
of | prep | ADP | [Tree]
the | det | DET | []
Tree | pobj | PROPN | [the, of]
of | prep | ADP | [Life]
Life | pobj | PROPN | []
( | punct | PUNCT | []
see | parataxis | VERB | [(, ABBALAH, )]
K | compound | PROPN | []
ABBALAH | dobj | PROPN | [K]
) | punct | PUNCT | []
. | punct | PUNCT | []"
